reviewer_id,asin,reviewer_name,helpful,helpful_ratio,review_text,overall,summary,unix_review_time,review_time,review_date,cleaned_text,processed_text,formatted_date,review_length,word_count,category,main_category,description,title,brand,price,manual_sentiment,vader_score,textblob_score,neutral_confidence,sentiment
A2YQ9AX4GOTA0S,B00G4771KA,t. kyle baskett,"[0, 0]",0.0,Helps out tremendously.,5,GoPro fun.,1406073600,"07 23, 2014",7/23/2014,helps out tremendously,helps tremendously,23-Jul-14,23,3,Electronics|Camera & Photo|Underwater Photography|Housings,Camera & Photo,"FEATURES of the GoPro Limited Edition LCD Touch BacPac Detachable LCD screen Light and convenient LCD screen provides easy shot-framing and content playback Keeps your camera as small and light as possible, yet provides the convenience of an LCD screen when attached SPECIFICATIONS of the GoPro Limited Edition LCD Touch BacPac Compatibility: HD HERO2, Original HD HERO This product can only be shipped within the United States. Please don't hate us.",GoPro Limited Edition LCD Touch BacPac,GoPro,99.99,positive,0.3818,0.3333333333333333,0.0,positive
A2R1HUYHXV7H18,B00GMTN96U,Kristi Gilleland,"[0, 0]",0.0,"I've got several of these bluetooth speakers now in every price range, and at the current price for this one, I think it is an excellent offering.It's got a really nice bass response, and it's great in the midrange, with acceptable high range.  It sounds very nice overall and keeps its precision well as you turn up the volume.  It's not audiophile quality, but it's darn good, certainly fine, very nice in this price range.PositivesIt's easy to grip, and has a nice rubber like texture that feels soft and nice to hold.It's small - it's 6 inches long and should fit easily in a purse.Mine weighs in right at one pound, so it won't add much to your carry on weight or your purse weightVery good bass response - it really sounds great with dance music, pop, and metalIt pairs easily - I had fast, effortless pairing with my Android phoneThe streaming range is good - it's pretty much like most of these speakers- if I'm in the same room, or just right out of it, it works fine.The controls are on the top- they are very intuitiveIt has an on/off switch and there's no 'cool' voice that gets really annoying after you've heard it 40 times.  You just get a quick tone to let you know it's on.  That's really nice.It has an auxiliary jack in case you don't want to use Bluetooth.  My son likes to use it with his MP3 player with a cord to the speaker.It charges with the same miniport charger that my android phone and Kindle use.Everything needed comes in the box- cords, ect.It has an USB jack so you can use it as an external battery if needed.  That's a feature that is fairly unique.It's pretty loud - it won't blast you out, but it has enough sound to fill a room.My teenager loves it.  There's something about it that doesn't seem as intimidating as some of my other speakers like this.The charge time is several hours, even at loud volume.NegativesThe charge time is adequate, but is not as long as my Jawbone Jambox.  The sound quality is very good, yet not quite audiophile - if you want these two things, you're probably going to pay at least triple this price though.It's a bit bass heavy for watching movies, listening to voice, or some forms of music with more treble.  The higher frequencies are a bit muddy with classical piano, for instance.I was provided a free sample for my honest opinion.  It's a good speaker with nice features for its price range.The controls look nice,and are easy to click, but they are under the rubber, and in low lighting, it's hard to see them.",4,"Punchy bass, small size, big sound",1406073600,"07 23, 2014",7/23/2014,ive got several of these bluetooth speakers now in every price range and at the current price for this one i think it is an excellent offeringits got a really nice bass response and its great in the midrange with acceptable high range it sounds very nice overall and keeps its precision well as you turn up the volume its not audiophile quality but its darn good certainly fine very nice in this price rangepositivesits easy to grip and has a nice rubber like texture that feels soft and nice to holdits small its inches long and should fit easily in a pursemine weighs in right at one pound so it wont add much to your carry on weight or your purse weightvery good bass response it really sounds great with dance music pop and metalit pairs easily i had fast effortless pairing with my android phonethe streaming range is good its pretty much like most of these speakers if im in the same room or just right out of it it works finethe controls are on the top they are very intuitiveit has an onoff switch and theres no cool voice that gets really annoying after youve heard it times you just get a quick tone to let you know its on thats really niceit has an auxiliary jack in case you dont want to use bluetooth my son likes to use it with his mp player with a cord to the speakerit charges with the same miniport charger that my android phone and kindle useeverything needed comes in the box cords ectit has an usb jack so you can use it as an external battery if needed thats a feature that is fairly uniqueits pretty loud it wont blast you out but it has enough sound to fill a roommy teenager loves it theres something about it that doesnt seem as intimidating as some of my other speakers like thisthe charge time is several hours even at loud volumenegativesthe charge time is adequate but is not as long as my jawbone jambox the sound quality is very good yet not quite audiophile if you want these two things youre probably going to pay at least triple this price thoughits a bit bass heavy for watching movies listening to voice or some forms of music with more treble the higher frequencies are a bit muddy with classical piano for instancei was provided a free sample for my honest opinion its a good speaker with nice features for its price rangethe controls look niceand are easy to click but they are under the rubber and in low lighting its hard to see them,ive got several bluetooth speakers now every price range current price one think excellent offeringits got really nice bass response great midrange acceptable high range sounds very nice overall keeps precision well turn volume not audiophile quality darn good certainly fine very nice price rangepositivesits easy grip nice rubber like texture feels soft nice holdits small inches long should fit easily pursemine weighs right one pound so wont add much carry weight purse weightvery good bass response really sounds great dance music pop metalit pairs easily fast effortless pairing android phonethe streaming range good pretty much like most speakers im same room just right works finethe controls top very intuitiveit onoff switch theres no cool voice gets really annoying youve heard times just get quick tone let know thats really niceit auxiliary jack case dont want use bluetooth son likes use mp player cord speakerit charges same miniport charger android phone kindle useeverything needed comes box cords ectit usb jack so can use external battery needed thats feature fairly uniqueits pretty loud wont blast enough sound fill roommy teenager loves theres something doesnt seem intimidating some other speakers like thisthe charge time several hours even loud volumenegativesthe charge time adequate not long jawbone jambox sound quality very good yet not quite audiophile want two things youre probably going pay least triple price thoughits bit bass heavy watching movies listening voice some forms music more treble higher frequencies bit muddy classical piano instancei provided free sample honest opinion good speaker nice features price rangethe controls look niceand easy click rubber low lighting hard see,23-Jul-14,2487,451,Electronics|Portable Audio & Video|Portable Speakers & Docks|Portable Bluetooth Speakers,All Electronics,"Wireless Portable Bluetooth Speaker: Enjoy a high definition stereo sound with an impressive volume whether you're lounging around the house, or partying, walking out, camping, hiking, biking. Bluetooth 4.0 Technology: Equipped with advanced technology and compatible with all Bluetooth compacity devices. Speaker would automatically reconnect to the last device used. Superior Sound Quality: Enjoy your music in 12W full-bodied stereo realized through dual high-performance drivers and a unique enhanced bass.","DanceOut & Trade Portable Wireless Bluetooth 4.0 Speaker, NFC Enabled with Built-in 1800mAh Battery Charger for Mobile Devices",Crazedigi,,positive,0.9978,0.2639105339105339,0.0,positive
A2ITGW4E6U909T,B00KFAGCUM,Monkeybongo,"[0, 0]",0.0,"For those on older Macbook and Macbook pros, I just installed the SSD on a late 2008 unibody Macbook and it was a quick and easy install. I can confirm this was compatible and installed at SATA II at 3GBps link speed. Works incredibly quicker for loading up applications (less bounces) and quieter.I was considering buying a new Macbook Air but Apple charges a premium of $500 for additional space for going from 128GB to 512GB which is a ripoff.I also installed the old 500GB hard drive into a Superdrive drive caddy and works as a nice internal storage area for photos, music and movies.",5,Great upgrade for Older Macbooks,1406073600,"07 23, 2014",7/23/2014,for those on older macbook and macbook pros i just installed the ssd on a late unibody macbook and it was a quick and easy install i can confirm this was compatible and installed at sata ii at gbps link speed works incredibly quicker for loading up applications less bounces and quieteri was considering buying a new macbook air but apple charges a premium of for additional space for going from gb to gb which is a ripoffi also installed the old gb hard drive into a superdrive drive caddy and works as a nice internal storage area for photos music and movies,older macbook macbook pros just installed ssd late unibody macbook quick easy install can confirm compatible installed sata ii gbps link speed works incredibly quicker loading applications less bounces quieteri considering buying new macbook air apple charges premium additional space going gb gb ripoffi also installed old gb hard drive superdrive drive caddy works nice internal storage area photos music movies,23-Jul-14,589,105,Uncategorized,Uncategorized,No description available,Untitled,Unknown Brand,,positive,0.4939,0.17376033057851237,0.2,positive
A3FMTE5CRT8BK9,B005B6O3LU,Anonymous,"[0, 0]",0.0,"Son used for a bit, then wanted something else.  Did the job for a bit.",4,Four Stars,1406073600,"07 23, 2014",7/23/2014,son used for a bit then wanted something else did the job for a bit,son used bit wanted something else job bit,23-Jul-14,71,15,"Electronics|Computers & Accessories|Tablet Accessories|Bags, Cases & Sleeves|Cases",Computers,"This premium quality pu leather case supports smart cover capability: automatically wakes on open and sleeps on close, it also features a unique design with a 360 swivel that allows the iPad 2 to rotate in portrait or landscape position while in the case. The center of the swivel is open so that Apple logo is clearly exposed.|Other key features: 
High quality polyurethane leather exterior with dual layer hard interior cover provides complete strong protection 
3 Convenient Stand Positions for easy typing and viewing movies
Microfiber lining protects iPad screen from scratch 
Full access to all functions while in the case
Easy & quick installation: snap on left part of iPad 2, then right ",SANOXY 360 Degrees Rotating Stand Leather Smart Case for Apple iPad 2/3/4 Red Luxury Crocodile Pattern,SANOXY,,neutral,0.0,0.0,0.8,neutral
A3CW0ZLUO5X2B1,B00JOS04PK,"35-year Technology Consumer ""8-tracks to 802.11""","[1, 1]",1.0,"...between an iPod Nano (7th generation) and whatever other device is connected at the USB end.This cable seems slighlty thicker than the Apple OEM. If you need an extra cable for the car or to keep in your travel bag, it will keep your iPod charged and your tunes flowing.Usually aftermarket cables offer significant savings over similar offerings from Apple. In this case, the savings are modest, but I feel the longer cord length adds flexibility in how you arrange your Apple device and its USB-connected companion.Select with confidence.Note: this item provided for review purposes.",5,Does what it's supposed to: moves data and power...,1406073600,"07 23, 2014",7/23/2014,between an ipod nano th generation and whatever other device is connected at the usb endthis cable seems slighlty thicker than the apple oem if you need an extra cable for the car or to keep in your travel bag it will keep your ipod charged and your tunes flowingusually aftermarket cables offer significant savings over similar offerings from apple in this case the savings are modest but i feel the longer cord length adds flexibility in how you arrange your apple device and its usbconnected companionselect with confidencenote this item provided for review purposes,ipod nano th generation whatever other device connected usb endthis cable seems slighlty thicker than apple oem need extra cable car keep travel bag will keep ipod charged tunes flowingusually aftermarket cables offer significant savings similar offerings apple case savings modest feel longer cord length adds flexibility how arrange apple device usbconnected companionselect confidencenote item provided review purposes,23-Jul-14,587,95,Uncategorized,Uncategorized,No description available,Untitled,Unknown Brand,,positive,0.34,0.06999999999999999,0.0,positive
A2ZO5SU0ESSB1N,B00FXBKNQC,"Amazon Customer ""bless their hearts mom""","[0, 0]",0.0,"I needed to be able to move my printer from in front of the window ac to the opposite end of the credenza. With the new 6 ft cord, it was easy peasy! Now it's not blocking part of the ac return - win win for everybody! These cords are great if you need a sturdy replacement, thanks to the new puppy, or if you just need a much longer length!",5,Make YOUR life easier!,1406073600,"07 23, 2014",7/23/2014,i needed to be able to move my printer from in front of the window ac to the opposite end of the credenza with the new ft cord it was easy peasy now its not blocking part of the ac return win win for everybody these cords are great if you need a sturdy replacement thanks to the new puppy or if you just need a much longer length,needed able move printer front window ac opposite end credenza new ft cord easy peasy now not blocking part ac return win win everybody cords great need sturdy replacement thanks new puppy just need much longer length,23-Jul-14,341,71,Electronics|Accessories & Supplies|Audio & Video Accessories|Cables & Interconnects|Power Cables,Home Audio & Theater,"This standard power cord is designed to work with most PCs, monitors, scanners, printers and other devices that use the 3-pin shroud power connector. Cable features an AC style plug (NEMA 5-15P) on one end and a computer style receptacle (IEC-320-C13) on the other end. The female connector plugs directly into the device while the male connector plugs into a standard outlet.","2 Pack Solid Cordz Premium 6ft Universal Power Cord - Replacement Power Cord for PC, monitor, printer, scanner",Solid Cordz,19.99,positive,0.9622,0.4006060606060606,0.2,positive
A3FMTE5CRT8BK9,B008ZVQHD0,Anonymous,"[0, 0]",0.0,perfect case for the Beats headphones.,5,Five Stars,1406073600,"07 23, 2014",7/23/2014,perfect case for the beats headphones,perfect case beats headphones,23-Jul-14,38,6,Uncategorized,Uncategorized,No description available,Untitled,Unknown Brand,,positive,0.5719,1.0,0.0,positive
A3FMTE5CRT8BK9,B000E0DU62,Anonymous,"[0, 0]",0.0,Perfect!  Our other one broke and we did not want to go to the digital format quite yet.  Glad we found another just like it.  Is in AWESOME condition.  :),5,Perfect! Our other one broke and we did not ...,1406073600,"07 23, 2014",7/23/2014,perfect our other one broke and we did not want to go to the digital format quite yet glad we found another just like it is in awesome condition,perfect other one broke not want go digital format quite yet glad found another just like awesome condition,23-Jul-14,155,30,Electronics|Camera & Photo|Video|Camcorders,Camera & Photo,"CL) MU) Sony DCR-HC36 MiniDV Digital Handycam Camcorder with 20x Optical Zoom|The DCR-HC36 from Sony gives you a full-featured, compact MiniDV camcorder at an affordable price. Highlights include the Advanced HAD CCD imager, which captures stunning detail and clarity, and 20x optical zoom with Super SteadyShot picture stabilization, which focuses on distant subjects, providing clear close-up images with less distortion. The Carl Zeiss Vario-Tessar lens offers less glare and increased contrast for vivid, more life-like color and tones. Make your personal videos complete with additional customization features such as Picture and Fader effects for creative and professional looking enhancements. Picture Package software helps you easily organize and edit still images and video. 1/6-Inch Advanced HAD CCD Imager, 680K Pixels Gross 1/6-Inch Advanced HAD (Hole Accumulation Diode) CCD with 340K (effective) pixels provides stunning detail and clarity with exceptional video (up to 500 lines of horizontal resolution) and still image performance. MiniDV Recording Offers up to 500 lines of horizontal resolution, 3x the color bandwidth and a significantly higher signal/noise ratio, to provide spectacular video performance. 20x Optical/800x Digital Zoom The optical zoom helps to bring the action close up from far away. In addition, the digital zoom interpolation means that extreme digital zooming is clearer, with less distortion than previous types of digital zooms. Professional Quality Carl Zeiss Vario-Tessar Lens Carl Zeiss lenses have an advanced optical multi-layer coating that offers less glare and flare with increased contrast. This results in vivid image brilliance, true-to-life color saturation and perfect renditions of subtle tones. Super SteadyShot Picture Stabilization System Picture stabilization system that uses motion sensors to detect and compensate for camera ""shake"" without compromising picture quality like some other digital stabilization systems. 2.5-Inch Touch Panel SwivelScreen LCD Display (123K Pixels) Provides excellent viewing clarity with improved resolution. The high resolution 123K pixel LCD screen rotates up to 270 degrees for multiple viewing angles providing sharp, detailed images for monitoring or playback. USB Streaming Stay connected to family and friends by broadcasting live video with audio over the internet using the USB interface. You can even playback your favorite recorded scene on the camcorder's tape. It's like having your own video conferencing system. i.LINK DV Interface A digital high-speed bi-directional interface which provides audio-video communication between two compatible devices. This connection allows for pure digital transfer between devices equipped with an IEEE1394 interface, such as camcorders, digital VTRs, capture cards, and PCs. Digital Still Memory Mode with Memory Stick Duo Media Capture still images at 640 x 480 resolution, directly onto Memory Stick Duo Media for easy transfer to PCs for e-mailing, printing, or sharing with other compatible Memory Stick devices. InfoLithium Battery with AccuPower Meter System Charge the battery at anytime because unlike NiCad (Nickel Cadmium) batteries, Sony's rechargeable Lithium Ion batteries are not subject to a life shortening ""memory effect."" Sony's exclusive AccuPower meter displays the battery time remaining in minutes, in either the viewfinder or on the LCD screen. Tele Macro Function Useful for shooting close up shots, but without having the camcorder casting a shadow on the subject. Images shot in the Tele Macro Mode will have the subject properly focused with the background unfocussed so that the subject stands out. Super NightShot Plus Infrared System With Sony's Super NightShot Infrared System you can capture natural looking video, even when shooting in low light. Record subjects up to 20 feet away using the built-in infrared system, but without the overall monochrome color common with earlier low-light recording systems. Manual Focus Allows the user to manually adjust the focus of the camcorder using the touch panel. Manual focusing also allows the user to control the focus in difficult situations where either the environment or the subject does not allow the camcorder's auto focus to perform optimally, such as when shooting through a window or in a crowded environment. On-Screen Zoom and Record Controls For additional control of the camcorder, the DCR-HC36 features Zoom and Record buttons on the frame of the LCD screen. This allows the user more flexibility when holding the camcorder, especially in overhead or low angle shots. Stamina Battery Power Management System Using the optional NP-FP90 InfoLithium Battery, the DCR-HC36 can continuously record for up to 9 hours (viewfinder) or up to 7 hours (LCD) on a single full charge, providing extra long battery life. Program AE (Auto Exposure) Modes Program AE modes make recording easy even when filming in challenging situations. Choose from Beach and Ski, Landscape, Portrait, Sports Lesson, Spotlight or Sunset and Moon modes. Additional features Picture effects Easy Handycam button Fader effects Battery information Picture Package software What's in the Box Sony DCR-HC36 MiniDV camcorder, power adapter/in-camera charger (ACL25), InfoLithium rechargeable battery (NPFP30), Remote Commander remote control (RMT-831), stereo AV cable, lens cap, USB cable, CD-ROM with USB Driver (Picture Package Software ver. 1.5 for Sony)",Sony DCR-HC36 MiniDV Digital Handycam Camcorder with 20x Optical Zoom (Discontinued by Manufacturer),Sony,,positive,0.8899,0.475,0.0,positive
A3SBTW3WS4IQSN,B00CA66YGQ,Anonymous,"[0, 0]",0.0,Good Stylus.,4,Four Stars,1406073600,"07 23, 2014",7/23/2014,good stylus,good stylus,23-Jul-14,12,2,Uncategorized,Uncategorized,No description available,Untitled,Unknown Brand,,positive,0.4404,0.7,0.0,positive
A2BIIQLXDW8MR5,B00IVPU786,Juan,"[0, 0]",0.0,"great product, great price and fast shipping what else is there to say.Juan",5,Five Stars,1406073600,"07 23, 2014",7/23/2014,great product great price and fast shipping what else is there to sayjuan,great product great price fast shipping else there sayjuan,23-Jul-14,75,13,Electronics|Computers & Accessories|Computer Accessories & Peripherals|Memory Cards,Computers,"Save your precious memories - fast. This Ultra High speed memory card is UHS-1 enabled, which means it captures photos and video two times faster than your typical micro SD. With a transfer speed of up to 48 MB per second, you can spend less time transferring memories, and more time making them.",Samsung 32GB up to 48MB/s EVO Class 10 Micro SDHC Card with Adapter (MB-MP32DA/AM),Samsung,13.99,positive,0.8481,0.6,0.0,positive
